mesh_name,iteration,ordering_type,solver_type,G_N,G_NNZ,nd_levels,patch_type,patch_size,patch_time,factor/matrix NNZ ratio,prep_time,ordering_time,ordering_integration_time,analysis_time,factorization_time,solve_time,residual
bunnyhead,0,DEFAULT,CUDSS,1550,10648,0,,0,0,0,-1,-1,13,8,14,10,0.0129301
bunnyhead,1,DEFAULT,CUDSS,1550,10648,0,,0,0,0,0,0,0,0,0,0,0.00055707
bunnyhead,2,DEFAULT,CUDSS,1550,10648,0,,0,0,0,0,0,0,0,0,0,0.000513884
bunnyhead,3,DEFAULT,CUDSS,1550,10648,0,,0,0,0,0,0,0,0,0,0,0.000481401
bunnyhead,4,DEFAULT,CUDSS,1550,10648,0,,0,0,0,0,0,0,0,0,0,0.000445063
bunnyhead,5,DEFAULT,CUDSS,1550,10648,0,,0,0,0,0,0,0,0,0,0,0.000406816
squircle,0,DEFAULT,CUDSS,2020,14094,0,,0,0,0,-1,-1,14,10,24,7,11912.1
squircle,1,DEFAULT,CUDSS,2020,14094,0,,0,0,0,0,0,0,0,0,0,0.000237204
squircle,2,DEFAULT,CUDSS,2020,14094,0,,0,0,0,0,0,0,0,0,0,0.000204447
squircle,3,DEFAULT,CUDSS,2020,14094,0,,0,0,0,0,0,0,0,0,0,0.000186742
squircle,4,DEFAULT,CUDSS,2020,14094,0,,0,0,0,0,0,0,0,0,0,0.000171784
squircle,5,DEFAULT,CUDSS,2020,14094,0,,0,0,0,0,0,0,0,0,0,0.000159432
plane_subdiv,0,DEFAULT,CUDSS,2209,15169,0,,0,0,0,-1,-1,16,8,11,3,0.886925
plane_subdiv,1,DEFAULT,CUDSS,2209,15169,0,,0,0,0,0,0,0,0,0,0,0.000443488
plane_subdiv,2,DEFAULT,CUDSS,2209,15169,0,,0,0,0,0,0,0,0,0,0,0.000396257
plane_subdiv,3,DEFAULT,CUDSS,2209,15169,0,,0,0,0,0,0,0,0,0,0,0.000377909
plane_subdiv,4,DEFAULT,CUDSS,2209,15169,0,,0,0,0,0,0,0,0,0,0,0.00037551
plane_subdiv,5,DEFAULT,CUDSS,2209,15169,0,,0,0,0,0,0,0,0,0,0,0.000382602
triceratops,0,DEFAULT,CUDSS,2832,19812,0,,0,0,0,-1,-1,21,8,12,3,18.8671
triceratops,1,DEFAULT,CUDSS,2832,19812,0,,0,0,0,0,0,0,0,0,0,0.000846003
triceratops,2,DEFAULT,CUDSS,2832,19812,0,,0,0,0,0,0,0,0,0,0,0.000665634
triceratops,3,DEFAULT,CUDSS,2832,19812,0,,0,0,0,0,0,0,0,0,0,0.00050112
triceratops,4,DEFAULT,CUDSS,2832,19812,0,,0,0,0,0,0,0,0,0,0,0.000409949
triceratops,5,DEFAULT,CUDSS,2832,19812,0,,0,0,0,0,0,0,0,0,0,0.000383169
cloth_uni_loop,0,DEFAULT,CUDSS,3430,23540,0,,0,0,0,-1,-1,26,8,12,3,0.00999277
cloth_uni_loop,1,DEFAULT,CUDSS,3430,23540,0,,0,0,0,0,0,0,0,0,0,0.000349274
cloth_uni_loop,2,DEFAULT,CUDSS,3430,23540,0,,0,0,0,0,0,0,0,0,0,0.000348773
cloth_uni_loop,3,DEFAULT,CUDSS,3430,23540,0,,0,0,0,0,0,0,0,0,0,0.000355272
cloth_uni_loop,4,DEFAULT,CUDSS,3430,23540,0,,0,0,0,0,0,0,0,0,0,0.000366887
cloth_uni_loop,5,DEFAULT,CUDSS,3430,23540,0,,0,0,0,0,0,0,0,0,0,0.000380345
torus,0,DEFAULT,CUDSS,4608,32256,0,,0,0,0,-1,-1,25,8,11,3,0.210957
torus,1,DEFAULT,CUDSS,4608,32256,0,,0,0,0,0,0,0,0,0,0,0.000141034
torus,2,DEFAULT,CUDSS,4608,32256,0,,0,0,0,0,0,0,0,0,0,0.000136029
torus,3,DEFAULT,CUDSS,4608,32256,0,,0,0,0,0,0,0,0,0,0,0.000134178
torus,4,DEFAULT,CUDSS,4608,32256,0,,0,0,0,0,0,0,0,0,0,0.000132888
torus,5,DEFAULT,CUDSS,4608,32256,0,,0,0,0,0,0,0,0,0,0,0.000132067
sphere5,0,DEFAULT,CUDSS,6146,43010,0,,0,0,0,-1,-1,63,9,20,4,0.0739746
sphere5,1,DEFAULT,CUDSS,6146,43010,0,,0,0,0,0,0,0,0,1,0,5.3315e-05
sphere5,2,DEFAULT,CUDSS,6146,43010,0,,0,0,0,0,0,0,0,1,0,5.33158e-05
sphere5,3,DEFAULT,CUDSS,6146,43010,0,,0,0,0,0,0,0,0,1,0,5.33163e-05
sphere5,4,DEFAULT,CUDSS,6146,43010,0,,0,0,0,0,0,0,0,1,0,5.33166e-05
sphere5,5,DEFAULT,CUDSS,6146,43010,0,,0,0,0,0,0,0,0,1,0,5.33168e-05
upsample_box,0,DEFAULT,CUDSS,6146,43010,0,,0,0,0,-1,-1,35,9,14,3,0.0022274
upsample_box,1,DEFAULT,CUDSS,6146,43010,0,,0,0,0,0,0,0,0,1,0,9.27156e-05
upsample_box,2,DEFAULT,CUDSS,6146,43010,0,,0,0,0,0,0,0,0,1,0,7.26998e-05
upsample_box,3,DEFAULT,CUDSS,6146,43010,0,,0,0,0,0,0,0,0,1,0,6.42996e-05
upsample_box,4,DEFAULT,CUDSS,6146,43010,0,,0,0,0,0,0,0,0,1,0,5.99378e-05
upsample_box,5,DEFAULT,CUDSS,6146,43010,0,,0,0,0,0,0,0,0,1,0,5.75521e-05
Nicolo_da_Uzzano,0,DEFAULT,CUDSS,6471,44963,0,,0,0,0,-1,-1,38,9,11,3,69551.5
Nicolo_da_Uzzano,1,DEFAULT,CUDSS,6471,44963,0,,0,0,0,0,0,0,0,0,0,0.000237223
Nicolo_da_Uzzano,2,DEFAULT,CUDSS,6471,44963,0,,0,0,0,0,0,0,0,0,0,0.000167115
Nicolo_da_Uzzano,3,DEFAULT,CUDSS,6471,44963,0,,0,0,0,0,0,0,0,0,0,0.000151919
Nicolo_da_Uzzano,4,DEFAULT,CUDSS,6471,44963,0,,0,0,0,0,0,0,0,0,0,0.000144603
Nicolo_da_Uzzano,5,DEFAULT,CUDSS,6471,44963,0,,0,0,0,0,0,0,0,0,0,0.000138469
Fennec_Fox,0,DEFAULT,CUDSS,6563,45929,0,,0,0,0,-1,-1,38,9,11,3,932.43
Fennec_Fox,1,DEFAULT,CUDSS,6563,45929,0,,0,0,0,0,0,0,0,0,0,0.000171831
Fennec_Fox,2,DEFAULT,CUDSS,6563,45929,0,,0,0,0,0,0,0,0,0,0,0.000116755
Fennec_Fox,3,DEFAULT,CUDSS,6563,45929,0,,0,0,0,0,0,0,0,0,0,8.72677e-05
Fennec_Fox,4,DEFAULT,CUDSS,6563,45929,0,,0,0,0,0,0,0,0,0,0,8.32009e-05
Fennec_Fox,5,DEFAULT,CUDSS,6563,45929,0,,0,0,0,0,0,0,0,0,0,8.08021e-05
squirrel,0,DEFAULT,CUDSS,8800,61588,0,,0,0,0,-1,-1,50,10,11,3,962.899
squirrel,1,DEFAULT,CUDSS,8800,61588,0,,0,0,0,0,0,0,0,0,0,0.000123915
squirrel,2,DEFAULT,CUDSS,8800,61588,0,,0,0,0,0,0,0,0,0,0,8.07751e-05
squirrel,3,DEFAULT,CUDSS,8800,61588,0,,0,0,0,0,0,0,0,0,0,7.01575e-05
squirrel,4,DEFAULT,CUDSS,8800,61588,0,,0,0,0,0,0,0,0,0,0,6.50821e-05
squirrel,5,DEFAULT,CUDSS,8800,61588,0,,0,0,0,0,0,0,0,0,0,6.19895e-05
dragon,0,DEFAULT,CUDSS,10000,70000,0,,0,0,0,-1,-1,55,10,11,3,0.0090101
dragon,1,DEFAULT,CUDSS,10000,70000,0,,0,0,0,0,0,0,0,0,0,0.000132514
dragon,2,DEFAULT,CUDSS,10000,70000,0,,0,0,0,0,0,0,0,0,0,9.78136e-05
dragon,3,DEFAULT,CUDSS,10000,70000,0,,0,0,0,0,0,0,0,0,0,8.46103e-05
dragon,4,DEFAULT,CUDSS,10000,70000,0,,0,0,0,0,0,0,0,0,0,7.81307e-05
dragon,5,DEFAULT,CUDSS,10000,70000,0,,0,0,0,0,0,0,0,0,0,7.51346e-05
rocker-arm,0,DEFAULT,CUDSS,10044,70308,0,,0,0,0,-1,-1,55,10,12,3,0.000145571
rocker-arm,1,DEFAULT,CUDSS,10044,70308,0,,0,0,0,0,0,0,0,1,0,9.67627e-05
rocker-arm,2,DEFAULT,CUDSS,10044,70308,0,,0,0,0,0,0,0,0,1,0,7.85208e-05
rocker-arm,3,DEFAULT,CUDSS,10044,70308,0,,0,0,0,0,0,0,0,1,0,6.76179e-05
rocker-arm,4,DEFAULT,CUDSS,10044,70308,0,,0,0,0,0,0,0,0,1,0,6.06201e-05
rocker-arm,5,DEFAULT,CUDSS,10044,70308,0,,0,0,0,0,0,0,0,1,0,5.59945e-05
complex_tube,0,DEFAULT,CUDSS,10841,76031,0,,0,0,0,-1,-1,61,10,15,4,7.38025
complex_tube,1,DEFAULT,CUDSS,10841,76031,0,,0,0,0,0,0,0,0,1,0,0.000148861
complex_tube,2,DEFAULT,CUDSS,10841,76031,0,,0,0,0,0,0,0,0,1,0,0.000108393
complex_tube,3,DEFAULT,CUDSS,10841,76031,0,,0,0,0,0,0,0,0,1,0,8.92718e-05
complex_tube,4,DEFAULT,CUDSS,10841,76031,0,,0,0,0,0,0,0,0,1,0,7.76045e-05
complex_tube,5,DEFAULT,CUDSS,10841,76031,0,,0,0,0,0,0,0,0,1,0,7.07105e-05
armadillo,0,DEFAULT,CUDSS,13035,91233,0,,0,0,0,-1,-1,122,11,12,3,13976
armadillo,1,DEFAULT,CUDSS,13035,91233,0,,0,0,0,0,0,0,0,1,0,0.000347281
armadillo,2,DEFAULT,CUDSS,13035,91233,0,,0,0,0,0,0,0,0,1,0,0.000219642
armadillo,3,DEFAULT,CUDSS,13035,91233,0,,0,0,0,0,0,0,0,1,0,0.000174434
armadillo,4,DEFAULT,CUDSS,13035,91233,0,,0,0,0,0,0,0,0,1,0,0.00014013
armadillo,5,DEFAULT,CUDSS,13035,91233,0,,0,0,0,0,0,0,0,1,0,0.000114359
ear2,0,DEFAULT,CUDSS,13496,94448,0,,0,0,0,-1,-1,64,11,11,3,691.097
ear2,1,DEFAULT,CUDSS,13496,94448,0,,0,0,0,0,0,0,0,1,0,0.000708063
ear2,2,DEFAULT,CUDSS,13496,94448,0,,0,0,0,0,0,0,0,1,0,0.000662471
ear2,3,DEFAULT,CUDSS,13496,94448,0,,0,0,0,0,0,0,0,1,0,0.00068816
ear2,4,DEFAULT,CUDSS,13496,94448,0,,0,0,0,0,0,0,0,1,0,0.000736686
ear2,5,DEFAULT,CUDSS,13496,94448,0,,0,0,0,0,0,0,0,1,0,0.00079444
cloth_loop3,0,DEFAULT,CUDSS,14320,99322,0,,0,0,0,-1,-1,75,11,11,4,0.00119236
cloth_loop3,1,DEFAULT,CUDSS,14320,99322,0,,0,0,0,0,0,0,0,1,1,0.000143509
cloth_loop3,2,DEFAULT,CUDSS,14320,99322,0,,0,0,0,0,0,0,0,1,1,0.000147926
cloth_loop3,3,DEFAULT,CUDSS,14320,99322,0,,0,0,0,0,0,0,0,1,1,0.000154527
cloth_loop3,4,DEFAULT,CUDSS,14320,99322,0,,0,0,0,0,0,0,0,1,1,0.000163786
cloth_loop3,5,DEFAULT,CUDSS,14320,99322,0,,0,0,0,0,0,0,0,1,1,0.00017189
Land,0,DEFAULT,CUDSS,14738,103154,0,,0,0,0,-1,-1,71,11,11,3,2480.78
Land,1,DEFAULT,CUDSS,14738,103154,0,,0,0,0,0,0,0,0,1,0,0.000445766
Land,2,DEFAULT,CUDSS,14738,103154,0,,0,0,0,0,0,0,0,1,0,0.000133593
Land,3,DEFAULT,CUDSS,14738,103154,0,,0,0,0,0,0,0,0,1,0,8.17127e-05
Land,4,DEFAULT,CUDSS,14738,103154,0,,0,0,0,0,0,0,0,1,0,7.54316e-05
Land,5,DEFAULT,CUDSS,14738,103154,0,,0,0,0,0,0,0,0,1,0,7.34523e-05
davidhead,0,DEFAULT,CUDSS,14964,104736,0,,0,0,0,-1,-1,73,11,12,3,0.0158294
davidhead,1,DEFAULT,CUDSS,14964,104736,0,,0,0,0,0,0,0,0,1,1,8.56702e-05
davidhead,2,DEFAULT,CUDSS,14964,104736,0,,0,0,0,0,0,0,0,1,1,5.64864e-05
davidhead,3,DEFAULT,CUDSS,14964,104736,0,,0,0,0,0,0,0,0,1,1,5.01538e-05
davidhead,4,DEFAULT,CUDSS,14964,104736,0,,0,0,0,0,0,0,0,1,1,4.78452e-05
davidhead,5,DEFAULT,CUDSS,14964,104736,0,,0,0,0,0,0,0,0,1,1,4.67821e-05
beetle,0,DEFAULT,CUDSS,19887,136991,0,,0,0,0,-1,-1,112,12,12,3,0.000427674
beetle,1,DEFAULT,CUDSS,19887,136991,0,,0,0,0,0,0,0,0,1,1,0.000243852
beetle,2,DEFAULT,CUDSS,19887,136991,0,,0,0,0,0,0,0,0,1,1,0.000238452
beetle,3,DEFAULT,CUDSS,19887,136991,0,,0,0,0,0,0,0,0,1,1,0.000229205
beetle,4,DEFAULT,CUDSS,19887,136991,0,,0,0,0,0,0,0,0,1,1,0.000215227
beetle,5,DEFAULT,CUDSS,19887,136991,0,,0,0,0,0,0,0,0,1,1,0.000195839
bumpy-cube,0,DEFAULT,CUDSS,19970,139778,0,,0,0,0,-1,-1,91,13,12,4,1.94484
bumpy-cube,1,DEFAULT,CUDSS,19970,139778,0,,0,0,0,0,0,0,0,2,1,7.5513e-05
bumpy-cube,2,DEFAULT,CUDSS,19970,139778,0,,0,0,0,0,0,0,0,2,1,5.69282e-05
bumpy-cube,3,DEFAULT,CUDSS,19970,139778,0,,0,0,0,0,0,0,0,2,1,4.6753e-05
bumpy-cube,4,DEFAULT,CUDSS,19970,139778,0,,0,0,0,0,0,0,0,2,1,4.05527e-05
bumpy-cube,5,DEFAULT,CUDSS,19970,139778,0,,0,0,0,0,0,0,0,2,1,3.71351e-05
sphere6,0,DEFAULT,CUDSS,24578,172034,0,,0,0,0,-1,-1,124,15,12,4,0.0370413
sphere6,1,DEFAULT,CUDSS,24578,172034,0,,0,0,0,0,0,0,0,3,1,2.66902e-05
sphere6,2,DEFAULT,CUDSS,24578,172034,0,,0,0,0,0,0,0,0,3,1,2.66903e-05
sphere6,3,DEFAULT,CUDSS,24578,172034,0,,0,0,0,0,0,0,0,3,1,2.66903e-05
sphere6,4,DEFAULT,CUDSS,24578,172034,0,,0,0,0,0,0,0,0,3,1,2.66904e-05
sphere6,5,DEFAULT,CUDSS,24578,172034,0,,0,0,0,0,0,0,0,3,1,2.66904e-05
gargoyle,0,DEFAULT,CUDSS,29921,209435,0,,0,0,0,-1,-1,128,15,11,6,0.0075062
gargoyle,1,DEFAULT,CUDSS,29921,209435,0,,0,0,0,0,0,0,0,2,1,0.000114184
gargoyle,2,DEFAULT,CUDSS,29921,209435,0,,0,0,0,0,0,0,0,2,1,8.41192e-05
gargoyle,3,DEFAULT,CUDSS,29921,209435,0,,0,0,0,0,0,0,0,2,1,7.02537e-05
gargoyle,4,DEFAULT,CUDSS,29921,209435,0,,0,0,0,0,0,0,0,2,1,6.07153e-05
gargoyle,5,DEFAULT,CUDSS,29921,209435,0,,0,0,0,0,0,0,0,2,1,5.34806e-05
