G_N,G_NNZ,factor/matrix NNZ ratio,factor/metis factor,org factor/metis factor,ordering_time,analysis_time,factorization_time,solve_time,residual
120000,2018454,19.9929,1.21815,1,61,-1,-1,-1,0
120000,2018598,20.0112,1.19437,0.980715,51,-1,-1,-1,0
120000,2018859,20.2293,1.21402,0.987194,53,-1,-1,-1,0
120000,2018814,20.614,1.24718,0.995254,54,-1,-1,-1,0
120000,2018805,20.6521,1.26133,1.00469,52,-1,-1,-1,0
120000,2018760,20.4396,1.22459,0.985587,62,-1,-1,-1,0
120000,2018832,20.2366,1.22377,0.995698,59,-1,-1,-1,0
120000,2018949,20.2075,1.22766,1.00025,61,-1,-1,-1,0
120000,2019111,20.107,1.19328,0.977615,53,-1,-1,-1,0
120000,2019201,20.3576,1.23587,1.00031,71,-1,-1,-1,0
120000,2019237,20.5378,1.23784,0.993099,54,-1,-1,-1,0
120000,2019246,20.4281,1.21333,0.978656,68,-1,-1,-1,0
120000,2019264,20.1749,1.21478,0.992115,73,-1,-1,-1,0
120000,2019246,20.1509,1.2223,0.999766,55,-1,-1,-1,0
120000,2019309,20.4913,1.24564,1.00253,74,-1,-1,-1,0
120000,2019219,20.391,1.24299,1.00505,55,-1,-1,-1,0
120000,2019156,20.1325,1.2319,1.0089,61,-1,-1,-1,0
120000,2019147,20.4672,1.22144,0.98398,53,-1,-1,-1,0
120000,2019183,20.5021,1.25052,1.00568,71,-1,-1,-1,0
120000,2019183,20.9326,1.24682,0.982381,63,-1,-1,-1,0
120000,2019192,20.2423,1.21125,0.986899,83,-1,-1,-1,0
120000,2019228,20.4191,1.24814,1.00813,74,-1,-1,-1,0
120000,2019354,20.369,1.23906,1.02605,86,-1,-1,-1,0
120000,2019390,20.1912,1.21928,0.996689,70,-1,-1,-1,0
120000,2019399,20.3149,1.23837,1.00613,54,-1,-1,-1,0
120000,2019417,20.4722,1.21995,1.00559,56,-1,-1,-1,0
120000,2019462,20.1732,1.19829,1.00234,54,-1,-1,-1,0
120000,2019831,20.2348,1.21454,1.0135,57,-1,-1,-1,0
120000,2019975,20.3345,1.21783,1.01258,60,-1,-1,-1,0
120000,2020092,20.3635,1.2249,1.01734,83,-1,-1,-1,0
120000,2020182,20.5828,1.23946,1.01863,79,-1,-1,-1,0
120000,2020227,20.5043,1.22331,1.00952,76,-1,-1,-1,0
120000,2020173,20.2205,1.21802,1.01946,64,-1,-1,-1,0
120000,2020182,20.4973,1.24141,1.02536,54,-1,-1,-1,0
120000,2020263,20.1933,1.22527,1.02817,55,-1,-1,-1,0
120000,2020254,20.558,1.23019,1.01399,66,-1,-1,-1,0
120000,2020326,20.003,1.20937,1.02449,54,-1,-1,-1,0
120000,2020254,20.3429,1.22374,1.01927,59,-1,-1,-1,0
120000,2020200,20.6124,1.24757,1.02556,56,-1,-1,-1,0
120000,2020236,20.188,1.21603,1.0207,52,-1,-1,-1,0
120000,2020245,20.4555,1.22778,1.01699,57,-1,-1,-1,0
120000,2020254,20.6942,1.25094,1.02393,68,-1,-1,-1,0
120000,2020380,20.5196,1.23748,1.02178,59,-1,-1,-1,0
120000,2020326,20.312,1.20725,1.00675,57,-1,-1,-1,0
120000,2020317,20.4041,1.24044,1.03007,60,-1,-1,-1,0
120000,2020227,20.0744,1.20165,1.01133,53,-1,-1,-1,0
120000,2020245,20.4943,1.22844,1.0123,54,-1,-1,-1,0
120000,2019957,20.2101,1.21227,1.01346,50,-1,-1,-1,0
120000,2019993,20.4639,1.22522,1.01157,60,-1,-1,-1,0
120000,2020002,20.3288,1.21713,1.01157,59,-1,-1,-1,0
120000,2020065,20.0796,1.19921,1.00907,51,-1,-1,-1,0
120000,2020236,20.9999,1.26635,1.04264,53,-1,-1,-1,0
120000,2020398,20.5615,1.24217,1.04514,53,-1,-1,-1,0
120000,2020605,20.4193,1.22569,1.03968,60,-1,-1,-1,0
120000,2020623,20.6473,1.2557,1.05334,51,-1,-1,-1,0
120000,2020650,20.39,1.23393,1.04814,53,-1,-1,-1,0
120000,2020848,20.5705,1.21747,1.02529,58,-1,-1,-1,0
120000,2020875,20.5193,1.23959,1.04651,54,-1,-1,-1,0
120000,2020929,20.7339,1.24814,1.04313,52,-1,-1,-1,0
120000,2021010,20.3245,1.23108,1.05061,54,-1,-1,-1,0
120000,2021172,19.8724,1.19136,1.0411,54,-1,-1,-1,0
120000,2021199,20.4956,1.22874,1.0411,52,-1,-1,-1,0
120000,2021226,21.0882,1.2574,1.03612,55,-1,-1,-1,0
120000,2021316,20.8878,1.24973,1.03964,75,-1,-1,-1,0
120000,2021307,20.9728,1.24962,1.03563,60,-1,-1,-1,0
120000,2021271,20.7205,1.24061,1.0404,53,-1,-1,-1,0
120000,2021262,20.717,1.24362,1.04312,51,-1,-1,-1,0
120000,2021253,20.4952,1.2303,1.04312,60,-1,-1,-1,0
120000,2021307,20.0686,1.1972,1.0373,60,-1,-1,-1,0
120000,2021334,20.0657,1.18983,1.03104,53,-1,-1,-1,0
120000,2021325,20.8429,1.25772,1.04924,84,-1,-1,-1,0
120000,2021928,20.8619,1.24906,1.05633,51,-1,-1,-1,0
120000,2022162,21.1339,1.26276,1.05695,50,-1,-1,-1,0
120000,2022261,21.1646,1.27331,1.0642,67,-1,-1,-1,0
120000,2022414,20.3981,1.21105,1.05076,53,-1,-1,-1,0
120000,2022549,20.5887,1.24417,1.07008,55,-1,-1,-1,0
120000,2022594,20.8253,1.23577,1.05077,56,-1,-1,-1,0
120000,2022729,20.2814,1.21394,1.06061,72,-1,-1,-1,0
120000,2022774,21.091,1.2674,1.0648,53,-1,-1,-1,0
120000,2022828,20.6805,1.23546,1.05889,53,-1,-1,-1,0
120000,2022873,20.8109,1.24373,1.06002,61,-1,-1,-1,0
120000,2022981,20.6046,1.22026,1.05094,51,-1,-1,-1,0
120000,2023116,20.7356,1.2296,1.05286,75,-1,-1,-1,0
120000,2023152,20.8327,1.23094,1.04907,54,-1,-1,-1,0
120000,2023206,20.8503,1.2555,1.06907,54,-1,-1,-1,0
120000,2023242,20.8979,1.25931,1.06989,52,-1,-1,-1,0
120000,2023296,21.3717,1.2638,1.05371,58,-1,-1,-1,0
120000,2023539,21.3922,1.2797,1.06737,58,-1,-1,-1,0
120000,2023629,20.545,1.2329,1.07121,50,-1,-1,-1,0
120000,2023692,20.7126,1.23765,1.06664,54,-1,-1,-1,0
120000,2023746,20.3758,1.20733,1.05768,54,-1,-1,-1,0
120000,2023818,20.7593,1.23954,1.06629,59,-1,-1,-1,0
120000,2023881,20.8207,1.23007,1.05541,81,-1,-1,-1,0
120000,2023935,20.6226,1.22356,1.06087,63,-1,-1,-1,0
120000,2023971,20.7261,1.23751,1.06762,60,-1,-1,-1,0
120000,2024088,20.9586,1.25088,1.06625,54,-1,-1,-1,0
120000,2024232,20.9512,1.236,1.05473,54,-1,-1,-1,0
120000,2024259,20.5053,1.22427,1.06743,52,-1,-1,-1,0
120000,2024313,20.7461,1.22724,1.05823,76,-1,-1,-1,0
120000,2024367,20.9751,1.24835,1.06464,55,-1,-1,-1,0
120000,2024430,21.1414,1.26411,1.06958,53,-1,-1,-1,0
120000,2024583,21.1142,1.26722,1.07356,58,-1,-1,-1,0
120000,2024619,20.8205,1.24018,1.06761,51,-1,-1,-1,0
120000,2024610,20.3541,1.21211,1.06737,51,-1,-1,-1,0
120000,2024646,20.5889,1.23575,1.07575,54,-1,-1,-1,0
120000,2024736,20.9693,1.25652,1.07299,54,-1,-1,-1,0
120000,2024862,20.6595,1.24717,1.08139,51,-1,-1,-1,0
120000,2025015,21.0769,1.2471,1.06141,68,-1,-1,-1,0
120000,2025015,20.7111,1.24013,1.07424,77,-1,-1,-1,0
120000,2024700,20.8192,1.23555,1.064,55,-1,-1,-1,0
120000,2024925,20.8178,1.22481,1.06718,54,-1,-1,-1,0
120000,2025078,20.8755,1.23607,1.07394,74,-1,-1,-1,0
120000,2025501,20.8608,1.23258,1.07868,53,-1,-1,-1,0
120000,2026032,20.9241,1.24388,1.09147,54,-1,-1,-1,0
120000,2026491,20.8645,1.23988,1.09388,59,-1,-1,-1,0
120000,2026761,20.5409,1.23043,1.103,70,-1,-1,-1,0
120000,2027031,21.1726,1.26622,1.10095,53,-1,-1,-1,0
120000,2027634,20.9734,1.228,1.08012,58,-1,-1,-1,0
120000,2027967,21.0837,1.24559,1.09126,54,-1,-1,-1,0
120000,2028426,21.4068,1.26665,1.10108,55,-1,-1,-1,0
120000,2029020,21.6493,1.28209,1.10955,53,-1,-1,-1,0
120000,2029398,20.6266,1.22595,1.1148,53,-1,-1,-1,0
120000,2029560,20.6006,1.22431,1.1151,72,-1,-1,-1,0
120000,2029686,20.9388,1.2498,1.12094,51,-1,-1,-1,0
120000,2030055,21.5392,1.26637,1.10664,56,-1,-1,-1,0
120000,2030280,20.8985,1.22346,1.10193,55,-1,-1,-1,0
120000,2030595,20.7899,1.23006,1.11478,54,-1,-1,-1,0
120000,2030748,21.021,1.23002,1.10274,50,-1,-1,-1,0
120000,2030775,20.6718,1.23711,1.12709,56,-1,-1,-1,0
120000,2030847,21.6584,1.27139,1.10615,58,-1,-1,-1,0
120000,2030901,20.7504,1.21556,1.10433,54,-1,-1,-1,0
120000,2030946,20.7593,1.22564,1.1135,53,-1,-1,-1,0
120000,2031180,21.4191,1.2579,1.10751,50,-1,-1,-1,0
120000,2031315,21.2878,1.23899,1.11116,80,-1,-1,-1,0
120000,2031468,20.7053,1.22561,1.13138,55,-1,-1,-1,0
120000,2031531,21.3773,1.27242,1.13639,52,-1,-1,-1,0
120000,2031558,20.607,1.2189,1.12796,57,-1,-1,-1,0
120000,2031531,20.7115,1.21085,1.1151,54,-1,-1,-1,0
120000,2031405,21.6036,1.27699,1.12729,74,-1,-1,-1,0
120000,2031486,21.0511,1.23265,1.11749,55,-1,-1,-1,0
120000,2031675,20.696,1.21612,1.12156,53,-1,-1,-1,0
120000,2031648,20.6881,1.21023,1.11717,55,-1,-1,-1,0
120000,2031594,20.6695,1.22638,1.13265,50,-1,-1,-1,0
120000,2031558,21.6194,1.27204,1.12302,51,-1,-1,-1,0
120000,2031594,20.8531,1.2323,1.12738,56,-1,-1,-1,0
120000,2031558,20.8721,1.23315,1.12716,74,-1,-1,-1,0
120000,2031594,21.4527,1.25159,1.11294,56,-1,-1,-1,0
120000,2031531,20.7252,1.217,1.12018,53,-1,-1,-1,0
120000,2031603,21.336,1.25145,1.11855,56,-1,-1,-1,0
120000,2031540,21.5059,1.26994,1.12537,53,-1,-1,-1,0
120000,2031504,20.8666,1.24084,1.13359,53,-1,-1,-1,0
120000,2031567,21.6009,1.25935,1.11177,54,-1,-1,-1,0
120000,2031585,21.1842,1.2313,1.10864,57,-1,-1,-1,0
120000,2031567,21.1308,1.27507,1.15014,52,-1,-1,-1,0
120000,2031522,21.1572,1.25061,1.12636,54,-1,-1,-1,0
120000,2031477,21.2796,1.22881,1.09996,64,-1,-1,-1,0
120000,2031630,21.2879,1.24074,1.11071,71,-1,-1,-1,0
120000,2031603,21.5641,1.2668,1.1204,62,-1,-1,-1,0
120000,2031504,21.2526,1.26488,1.13545,57,-1,-1,-1,0
120000,2031468,21.7555,1.27598,1.11865,52,-1,-1,-1,0
120000,2031045,21.1454,1.24575,1.12269,54,-1,-1,-1,0
120000,2031279,20.9304,1.21959,1.11064,55,-1,-1,-1,0
120000,2031504,21.7468,1.27757,1.12083,52,-1,-1,-1,0
120000,2031648,20.823,1.22676,1.12403,59,-1,-1,-1,0
120000,2031810,21.8616,1.3037,1.13831,54,-1,-1,-1,0
120000,2032926,21.5442,1.25179,1.11287,76,-1,-1,-1,0
120000,2033259,21.8204,1.28992,1.13356,54,-1,-1,-1,0
120000,2033853,21.6165,1.25205,1.12029,50,-1,-1,-1,0
120000,2034627,22.1227,1.27807,1.12713,53,-1,-1,-1,0
120000,2035248,21.8659,1.2817,1.19996,54,-1,-1,-1,0
120000,2035473,22.3586,1.30978,1.20007,53,-1,-1,-1,0
120000,2035788,21.2823,1.22496,1.18173,56,-1,-1,-1,0
120000,2036022,21.9582,1.27732,1.19552,52,-1,-1,-1,0
120000,2036328,22.0885,1.29173,1.20219,56,-1,-1,-1,0
120000,2036760,22.0057,1.28212,1.19804,57,-1,-1,-1,0
120000,2037174,22.4655,1.31308,1.20387,54,-1,-1,-1,0
120000,2037543,21.9936,1.29493,1.2149,55,-1,-1,-1,0
120000,2037705,21.0642,1.225,1.20154,55,-1,-1,-1,0
120000,2038227,22.4772,1.30711,1.22255,56,-1,-1,-1,0
120000,2038524,22.1344,1.27604,1.21366,57,-1,-1,-1,0
120000,2038839,21.4098,1.2309,1.21254,55,-1,-1,-1,0
120000,2038965,22.6018,1.319,1.23297,73,-1,-1,-1,0
