mesh_name,G_N,G_NNZ,solver_type,ordering_type,nd_levels,patch_type,use_patch_separator,local_permute_method,patch_size,patch_time,node_to_patch_time,decompose_time,local_permute_time,assemble_time,factor/matrix NNZ ratio,ordering_time,ordering_integration_time,analysis_time,factorization_time,solve_time,residual
Murex_Romosus,1759781,12318455,MKL,PATCH_ORDERING,2,rxmesh,1,amd,256,297.871,0.224873,0.408004,1.0045,0.00483738,8.59965,1642,0,1508,877,291,9.94202e-14
Murex_Romosus,1759781,12318455,MKL,PATCH_ORDERING,4,rxmesh,1,amd,256,192.227,0.218767,0.595734,0.507094,0.00476241,8.23758,1326,0,1553,751,276,9.94281e-14
Murex_Romosus,1759781,12318455,MKL,PATCH_ORDERING,8,rxmesh,1,amd,256,403.698,0.223637,0.990751,0.305389,0.002571,7.66831,1522,0,1580,662,265,9.94107e-14
Murex_Romosus,1759781,12318455,MKL,PATCH_ORDERING,10,rxmesh,1,amd,256,298.268,0.229541,1.65434,0.307701,0.00288102,7.45635,2194,0,1534,674,289,9.94318e-14
Murex_Romosus,1759781,12318455,MKL,PATCH_ORDERING,12,rxmesh,1,amd,256,373.515,0.225296,3.90802,0.33851,0.00305758,7.53323,4474,0,1635,769,289,9.9446e-14
dragon,10000,70000,MKL,PATCH_ORDERING,2,rxmesh,1,amd,256,4.61619,0.000583165,0.00230669,0.0019469,1.7645e-05,3.08144,4,0,11,5,1,7.53169e-15
dragon,10000,70000,MKL,PATCH_ORDERING,4,rxmesh,1,amd,256,4.49741,0.000633075,0.00685059,0.0016358,2.4835e-05,3.29674,9,0,12,7,1,7.53435e-15
dragon,10000,70000,MKL,PATCH_ORDERING,8,rxmesh,1,amd,256,4.7425,0.000598153,0.0157072,0.00155152,0.000150064,4.0205,18,0,15,84,1,7.57428e-15
dragon,10000,70000,MKL,PATCH_ORDERING,10,rxmesh,1,amd,256,6.59354,0.00083422,0.0154219,0.00164746,0.000158292,3.87904,18,0,12,8,1,7.53648e-15
dragon,10000,70000,MKL,PATCH_ORDERING,12,rxmesh,1,amd,256,4.55475,0.00066934,0.0160443,0.00164948,0.000156029,3.7976,18,0,14,7,1,7.56523e-15
Aloisus_C,302919,2120469,MKL,PATCH_ORDERING,2,rxmesh,1,amd,256,29.3827,0.0166135,0.0439031,0.072989,0.000413727,5.77386,133,0,189,99,39,4.13492e-14
Aloisus_C,302919,2120469,MKL,PATCH_ORDERING,4,rxmesh,1,amd,256,17.066,0.0165974,0.0767606,0.039044,0.000398905,5.68201,132,0,195,90,38,4.13543e-14
Aloisus_C,302919,2120469,MKL,PATCH_ORDERING,8,rxmesh,1,amd,256,22.7338,0.016609,0.188138,0.0356429,0.000385626,5.74704,240,0,203,96,42,4.13856e-14
Aloisus_C,302919,2120469,MKL,PATCH_ORDERING,10,rxmesh,1,amd,256,18.1185,0.0165783,0.383774,0.038969,0.000571667,5.92434,439,0,208,107,42,4.14085e-14
Aloisus_C,302919,2120469,MKL,PATCH_ORDERING,12,rxmesh,1,amd,256,29.3427,0.016801,0.585766,0.0419023,0.000842185,6.12143,645,0,211,118,42,4.14661e-14
