mesh_name,G_N,G_NNZ,solver_type,ordering_type,nd_levels,patch_type,use_patch_separator,local_permute_method,patch_size,patch_time,node_to_patch_time,decompose_time,local_permute_time,assemble_time,factor/matrix NNZ ratio,ordering_time,ordering_integration_time,analysis_time,factorization_time,solve_time,residual
Murex_Romosus,1759781,12318455,MKL,PATCH_ORDERING,0,rxmesh,0,amd,512,144.349,0.208914,3.68838,0.303066,0.00260612,7.29926,4202,0,1499,616,260,9.94271e-14
Murex_Romosus,1759781,12318455,MKL,PATCH_ORDERING,0,rxmesh,0,metis,512,182.443,0.198087,3.57831,3.57035,0.00228202,6.55565,7349,0,1525,617,269,9.95082e-14
Murex_Romosus,1759781,12318455,MKL,PATCH_ORDERING,0,rxmesh,1,amd,512,143.868,0.19964,0.884783,0.307478,0.00271647,7.74204,1394,0,1564,681,266,9.94266e-14
Murex_Romosus,1759781,12318455,MKL,PATCH_ORDERING,0,rxmesh,1,metis,512,115.824,0.205032,0.886725,3.91643,0.00252346,6.98858,5010,0,1540,679,254,9.95839e-14
Murex_Romosus,1759781,12318455,MKL,PATCH_ORDERING,0,metis_kway,0,amd,512,8228.89,0.14386,3.61703,0.297967,0.00264604,7.31241,4061,0,1492,630,258,9.94358e-14
Murex_Romosus,1759781,12318455,MKL,PATCH_ORDERING,0,metis_kway,0,metis,512,8311.66,0.143074,3.54248,3.69308,0.00273328,6.58362,7381,0,1493,623,247,9.95798e-14
Murex_Romosus,1759781,12318455,MKL,PATCH_ORDERING,0,metis_kway,1,amd,512,8429.74,0.14218,0.887629,0.281187,0.00264003,7.86536,1313,0,1457,720,269,9.9426e-14
Murex_Romosus,1759781,12318455,MKL,PATCH_ORDERING,0,metis_kway,1,metis,512,8378.3,0.143069,0.898949,3.94429,0.00252556,7.05796,4988,0,1507,665,253,9.9554e-14
dragon,10000,70000,MKL,PATCH_ORDERING,0,rxmesh,0,amd,512,8.58112,0.000440908,0.0168211,0.00174048,5.7609e-05,3.05919,19,0,12,5,1,7.55186e-15
dragon,10000,70000,MKL,PATCH_ORDERING,0,rxmesh,0,metis,512,8.98048,0.000454806,0.0163106,0.0104764,5.1957e-05,3.02604,27,0,12,4,1,7.57499e-15
dragon,10000,70000,MKL,PATCH_ORDERING,0,rxmesh,1,amd,512,6.47152,0.000463795,0.00936449,0.00135513,4.9293e-05,3.78689,11,0,12,8,1,7.55221e-15
dragon,10000,70000,MKL,PATCH_ORDERING,0,rxmesh,1,metis,512,7.38918,0.000562537,0.0114322,0.0103547,5.6951e-05,3.45881,22,0,16,6,1,7.55587e-15
dragon,10000,70000,MKL,PATCH_ORDERING,0,metis_kway,0,amd,512,19.4443,0.000386188,0.0169392,0.00136317,4.7452e-05,3.13119,18,0,11,5,1,7.5359e-15
dragon,10000,70000,MKL,PATCH_ORDERING,0,metis_kway,0,metis,512,20.022,0.000389609,0.0177238,0.0107923,3.3449e-05,3.05369,28,0,11,4,1,7.54988e-15
dragon,10000,70000,MKL,PATCH_ORDERING,0,metis_kway,1,amd,512,20.3952,0.000387531,0.00801195,0.00140125,4.5448e-05,3.49281,9,0,12,7,1,7.51575e-15
dragon,10000,70000,MKL,PATCH_ORDERING,0,metis_kway,1,metis,512,19.3742,0.000387623,0.00787535,0.0101143,5.5034e-05,3.49021,18,0,11,5,1,7.58546e-15
Aloisus_C,302919,2120469,MKL,PATCH_ORDERING,0,rxmesh,0,amd,512,18.2467,0.013121,0.619277,0.0424067,0.000535736,5.00334,675,0,198,89,38,4.13853e-14
Aloisus_C,302919,2120469,MKL,PATCH_ORDERING,0,rxmesh,0,metis,512,18.3828,0.013158,0.614732,0.445854,0.000476044,4.78972,1074,0,199,87,36,4.1426e-14
Aloisus_C,302919,2120469,MKL,PATCH_ORDERING,0,rxmesh,1,amd,512,17.9333,0.0131961,0.161478,0.0363713,0.000529013,5.77583,211,0,205,109,41,4.13781e-14
Aloisus_C,302919,2120469,MKL,PATCH_ORDERING,0,rxmesh,1,metis,512,21.6351,0.013114,0.16755,0.451623,0.000510518,5.41445,632,0,204,98,39,4.14249e-14
Aloisus_C,302919,2120469,MKL,PATCH_ORDERING,0,metis_kway,0,amd,512,852.011,0.0107329,0.612326,0.039386,0.000558257,4.9765,663,0,192,87,38,4.1334e-14
Aloisus_C,302919,2120469,MKL,PATCH_ORDERING,0,metis_kway,0,metis,512,868.923,0.0106059,0.610521,0.453616,0.000462197,4.77387,1075,0,202,84,37,4.14495e-14
Aloisus_C,302919,2120469,MKL,PATCH_ORDERING,0,metis_kway,1,amd,512,864.438,0.0106074,0.154001,0.0358466,0.000433061,5.72341,200,0,194,102,41,4.13861e-14
Aloisus_C,302919,2120469,MKL,PATCH_ORDERING,0,metis_kway,1,metis,512,929.727,0.0108774,0.161814,0.464841,0.000402097,5.49121,637,0,203,96,39,4.14007e-14
