mesh_name,G_N,G_NNZ,solver_type,ordering_type,nd_levels,patch_type,use_patch_separator,local_permute_method,patch_size,patch_time,node_to_patch_time,decompose_time,local_permute_time,assemble_time,factor/matrix NNZ ratio,ordering_time,ordering_integration_time,analysis_time,factorization_time,solve_time,residual
Murex_Romosus,1759781,12318455,MKL,PATCH_ORDERING,0,rxmesh,1,amd,32,23638.4,0.308988,1.0957,0.328406,0.00257975,7.58308,1735,0,1524,681,264,9.94E-14
Murex_Romosus,1759781,12318455,MKL,PATCH_ORDERING,0,rxmesh,1,amd,64,1161.91,0.255995,1.02767,0.289904,0.00303759,7.65703,1576,0,1525,667,263,9.94E-14
Murex_Romosus,1759781,12318455,MKL,PATCH_ORDERING,0,rxmesh,1,amd,128,212.255,0.223578,1.04282,0.294586,0.00285145,7.68467,1563,0,1574,667,266,9.94E-14
Murex_Romosus,1759781,12318455,MKL,PATCH_ORDERING,0,rxmesh,1,amd,256,220.918,0.197669,0.889573,0.33462,0.00273643,7.77872,1424,0,1598,668,266,9.94E-14
dragon,10000,70000,MKL,PATCH_ORDERING,0,rxmesh,1,amd,32,7.44755,0.00106724,0.0485539,0.00171929,7.34E-05,4.82989,51,0,12,6,1,7.57E-15
dragon,10000,70000,MKL,PATCH_ORDERING,0,rxmesh,1,amd,64,4.07859,0.000822359,0.0279282,0.00167889,0.000185393,4.14364,30,0,12,73,1,7.57E-15
dragon,10000,70000,MKL,PATCH_ORDERING,0,rxmesh,1,amd,128,5.09645,0.000609307,0.016252,0.00135249,3.54E-05,3.67873,18,0,14,6,1,7.51E-15
dragon,10000,70000,MKL,PATCH_ORDERING,0,rxmesh,1,amd,256,7.16083,0.000513237,0.00890637,0.00134032,4.57E-05,3.65177,10,0,12,8,1,7.54E-15
Aloisus_C,302919,2120469,MKL,PATCH_ORDERING,0,rxmesh,1,amd,32,103.924,0.0333676,0.193092,0.0353738,0.000445789,5.55672,262,0,206,93,40,4.14E-14
Aloisus_C,302919,2120469,MKL,PATCH_ORDERING,0,rxmesh,1,amd,64,56.9723,0.0234492,0.181446,0.0366369,0.000586436,5.54793,242,0,204,100,40,4.14E-14
Aloisus_C,302919,2120469,MKL,PATCH_ORDERING,0,rxmesh,1,amd,128,31.403,0.0167066,0.173558,0.0359092,0.000445058,5.71495,226,0,203,100,41,4.14E-14
Aloisus_C,302919,2120469,MKL,PATCH_ORDERING,0,rxmesh,1,amd,256,29.3591,0.013186,0.163258,0.0364656,0.000510661,5.88237,213,0,209,101,41,4.14E-14
