mesh_name,G_N,G_NNZ,solver_type,ordering_type,nd_levels,patch_type,patch_size,patch_time,factor/matrix NNZ ratio,ordering_time,analysis_time,factorization_time,solve_time,residual
bunnyhead,1550,10648,CUDSS,DEFAULT,0,,0,0,-9.39144e-05,-1,21,11,3,3.37723e-15
squircle,2020,14094,CUDSS,DEFAULT,0,,0,0,-7.09522e-05,-1,25,12,3,3.83265e-15
plane_subdiv,2209,15169,CUDSS,DEFAULT,0,,0,0,-6.59239e-05,-1,24,11,3,3.67082e-15
triceratops,2832,19812,CUDSS,DEFAULT,0,,0,0,-5.04745e-05,-1,29,11,3,4.45278e-15
cloth_uni_loop,3430,23540,CUDSS,DEFAULT,0,,0,0,-4.24809e-05,-1,53,17,4,4.93374e-15
torus,4608,32256,CUDSS,DEFAULT,0,,0,0,-3.1002e-05,-1,33,11,3,5.51105e-15
sphere5,6146,43010,CUDSS,DEFAULT,0,,0,0,-2.32504e-05,-1,43,11,4,6.56733e-15
upsample_box,6146,43010,CUDSS,DEFAULT,0,,0,0,-2.32504e-05,-1,48,20,6,6.36979e-15
Nicolo_da_Uzzano,6471,44963,CUDSS,DEFAULT,0,,0,0,-2.22405e-05,-1,48,11,4,6.85683e-15
Fennec_Fox,6563,45929,CUDSS,DEFAULT,0,,0,0,-2.17727e-05,-1,45,11,3,6.80801e-15
squirrel,8800,61588,CUDSS,DEFAULT,0,,0,0,-1.62369e-05,-1,57,11,4,7.7985e-15
dragon,10000,70000,CUDSS,DEFAULT,0,,0,0,-1.42857e-05,-1,63,11,3,8.37261e-15
rocker-arm,10044,70308,CUDSS,DEFAULT,0,,0,0,-1.42231e-05,-1,95,21,6,8.41846e-15
complex_tube,10841,76031,CUDSS,DEFAULT,0,,0,0,-1.31525e-05,-1,70,11,4,8.60056e-15
armadillo,13035,91233,CUDSS,DEFAULT,0,,0,0,-1.09609e-05,-1,75,11,4,9.51831e-15
ear2,13496,94448,CUDSS,DEFAULT,0,,0,0,-1.05878e-05,-1,73,11,4,9.86951e-15
