mesh_name,G_N,G_NNZ,solver_type,ordering_type,nd_levels,patch_type,patch_size,factor/matrix NNZ ratio,ordering_time,analysis_time,factorization_time,solve_time,residual
Chevy_Corvette_Carbon65,1221086,8569984,CUDSS,DEFAULT,0,rxmesh,24,-1.16686e-07,-1,-1,-1,-1,0
andrew-jackson-zinc-sculpture-master-geometry,4737054,33158454,CUDSS,DEFAULT,0,rxmesh,24,-3.01582e-08,-1,-1,-1,-1,0
Portrait_Statue_Of_-Aule_Meteli,1792311,12542759,CUDSS,DEFAULT,0,rxmesh,24,-7.97273e-08,-1,-1,-1,-1,0
blue-crab-master-geometry,5658726,39611238,CUDSS,DEFAULT,0,rxmesh,24,-2.52454e-08,-1,-1,-1,-1,0
embreea_rodigasiana_var_herrenhusan-scale_mm-4M_triangle,1984810,13893946,CUDSS,DEFAULT,0,rxmesh,24,-7.19738e-08,-1,-1,-1,-1,0
wingedvictory,2836081,19852567,CUDSS,DEFAULT,0,rxmesh,24,-5.03713e-08,-1,-1,-1,-1,0
nefertiti,1009118,7063814,CUDSS,DEFAULT,0,rxmesh,24,-1.41567e-07,-1,-1,-1,-1,0
fish,10786,75490,CUDSS,DEFAULT,0,rxmesh,24,-1.32468e-05,-1,-1,-1,-1,0
skull,49999,350005,CUDSS,DEFAULT,0,rxmesh,24,-2.8571e-06,-1,-1,-1,-1,0
488FancyRoller,1138346,7963504,CUDSS,DEFAULT,0,rxmesh,24,-1.25573e-07,-1,-1,-1,-1,0
armadillo,14587,102097,CUDSS,DEFAULT,0,rxmesh,24,-9.79461e-06,-1,-1,-1,-1,0
morse-telegraph-key-master-geometry,2748869,19199874,CUDSS,DEFAULT,0,rxmesh,24,-5.20837e-08,-1,-1,-1,-1,0
cloth10x10,952741,6661303,CUDSS,DEFAULT,0,rxmesh,24,-1.50121e-07,-1,-1,-1,-1,0
scorpion_low_resolution,6315,44193,CUDSS,DEFAULT,0,rxmesh,24,-2.2628e-05,-1,-1,-1,-1,0
SkysSkull_2_bone-smoothed-orientated,1347290,9489650,CUDSS,DEFAULT,0,rxmesh,24,-1.05378e-07,-1,-1,-1,-1,0
violin,127968,895824,CUDSS,DEFAULT,0,rxmesh,24,-1.11629e-06,-1,-1,-1,-1,0
andrew-jackson-zinc-sculpture-master-geometry,4737054,33158454,CUDSS,PARTH,3,rxmesh,24,10.2314,13763,-1,-1,-1,0
andrew-jackson-zinc-sculpture-master-geometry,4737054,33158454,CUDSS,PARTH,5,rxmesh,24,10.2056,22102,-1,-1,-1,0
andrew-jackson-zinc-sculpture-master-geometry,4737054,33158454,CUDSS,PARTH,7,rxmesh,24,10.2088,21602,-1,-1,-1,0
andrew-jackson-zinc-sculpture-master-geometry,4737054,33158454,CUDSS,PARTH,9,rxmesh,24,10.2495,22116,-1,-1,-1,0
andrew-jackson-zinc-sculpture-master-geometry,4737054,33158454,CUDSS,PARTH,11,rxmesh,24,10.2331,21210,-1,-1,-1,0
Portrait_Statue_Of_-Aule_Meteli,1792311,12542759,CUDSS,PARTH,3,rxmesh,24,10.5468,5518,-1,-1,-1,0
Portrait_Statue_Of_-Aule_Meteli,1792311,12542759,CUDSS,PARTH,5,rxmesh,24,10.5495,7967,-1,-1,-1,0
Portrait_Statue_Of_-Aule_Meteli,1792311,12542759,CUDSS,PARTH,7,rxmesh,24,10.4849,8113,-1,-1,-1,0
Portrait_Statue_Of_-Aule_Meteli,1792311,12542759,CUDSS,PARTH,9,rxmesh,24,10.5193,8072,-1,-1,-1,0
Portrait_Statue_Of_-Aule_Meteli,1792311,12542759,CUDSS,PARTH,11,rxmesh,24,10.5341,8119,-1,-1,-1,0
blue-crab-master-geometry,5658726,39611238,CUDSS,PARTH,3,rxmesh,24,10.4365,18604,-1,-1,-1,0
blue-crab-master-geometry,5658726,39611238,CUDSS,PARTH,5,rxmesh,24,10.3825,27719,-1,-1,-1,0
blue-crab-master-geometry,5658726,39611238,CUDSS,PARTH,7,rxmesh,24,10.3928,26949,-1,-1,-1,0
blue-crab-master-geometry,5658726,39611238,CUDSS,PARTH,9,rxmesh,24,10.3706,28382,-1,-1,-1,0
blue-crab-master-geometry,5658726,39611238,CUDSS,PARTH,11,rxmesh,24,10.4181,28628,-1,-1,-1,0
embreea_rodigasiana_var_herrenhusan-scale_mm-4M_triangle,1984810,13893946,CUDSS,PARTH,3,rxmesh,24,11.6655,5245,-1,-1,-1,0
embreea_rodigasiana_var_herrenhusan-scale_mm-4M_triangle,1984810,13893946,CUDSS,PARTH,5,rxmesh,24,11.6789,7741,-1,-1,-1,0
embreea_rodigasiana_var_herrenhusan-scale_mm-4M_triangle,1984810,13893946,CUDSS,PARTH,7,rxmesh,24,11.653,8355,-1,-1,-1,0
embreea_rodigasiana_var_herrenhusan-scale_mm-4M_triangle,1984810,13893946,CUDSS,PARTH,9,rxmesh,24,11.6177,8154,-1,-1,-1,0
embreea_rodigasiana_var_herrenhusan-scale_mm-4M_triangle,1984810,13893946,CUDSS,PARTH,11,rxmesh,24,11.6483,8598,-1,-1,-1,0
wingedvictory,2836081,19852567,CUDSS,PARTH,3,rxmesh,24,9.48368,7872,-1,-1,-1,0
wingedvictory,2836081,19852567,CUDSS,PARTH,5,rxmesh,24,9.54269,11408,-1,-1,-1,0
wingedvictory,2836081,19852567,CUDSS,PARTH,7,rxmesh,24,9.48958,12154,-1,-1,-1,0
wingedvictory,2836081,19852567,CUDSS,PARTH,9,rxmesh,24,9.54481,11473,-1,-1,-1,0
wingedvictory,2836081,19852567,CUDSS,PARTH,11,rxmesh,24,9.51014,12544,-1,-1,-1,0
nefertiti,1009118,7063814,CUDSS,PARTH,3,rxmesh,24,9.68293,2622,-1,-1,-1,0
nefertiti,1009118,7063814,CUDSS,PARTH,5,rxmesh,24,9.72624,3653,-1,-1,-1,0
nefertiti,1009118,7063814,CUDSS,PARTH,7,rxmesh,24,9.75725,3940,-1,-1,-1,0
nefertiti,1009118,7063814,CUDSS,PARTH,9,rxmesh,24,9.78177,4059,-1,-1,-1,0
nefertiti,1009118,7063814,CUDSS,PARTH,11,rxmesh,24,9.72502,3971,-1,-1,-1,0
fish,10786,75490,CUDSS,PARTH,3,rxmesh,24,8.05871,44,-1,-1,-1,0
fish,10786,75490,CUDSS,PARTH,5,rxmesh,24,8.06361,62,-1,-1,-1,0
fish,10786,75490,CUDSS,PARTH,7,rxmesh,24,7.92068,60,-1,-1,-1,0
fish,10786,75490,CUDSS,PARTH,9,rxmesh,24,7.77851,83,-1,-1,-1,0
fish,10786,75490,CUDSS,PARTH,11,rxmesh,24,7.73832,125,-1,-1,-1,0
skull,49999,350005,CUDSS,PARTH,3,rxmesh,24,7.7055,125,-1,-1,-1,0
skull,49999,350005,CUDSS,PARTH,5,rxmesh,24,7.67833,175,-1,-1,-1,0
skull,49999,350005,CUDSS,PARTH,7,rxmesh,24,7.62983,214,-1,-1,-1,0
skull,49999,350005,CUDSS,PARTH,9,rxmesh,24,7.60356,232,-1,-1,-1,0
skull,49999,350005,CUDSS,PARTH,11,rxmesh,24,7.58331,328,-1,-1,-1,0
488FancyRoller,1138346,7963504,CUDSS,PARTH,3,rxmesh,24,10.4894,2911,-1,-1,-1,0
488FancyRoller,1138346,7963504,CUDSS,PARTH,5,rxmesh,24,10.4991,4179,-1,-1,-1,0
488FancyRoller,1138346,7963504,CUDSS,PARTH,7,rxmesh,24,10.4608,4501,-1,-1,-1,0
488FancyRoller,1138346,7963504,CUDSS,PARTH,9,rxmesh,24,10.4659,4395,-1,-1,-1,0
488FancyRoller,1138346,7963504,CUDSS,PARTH,11,rxmesh,24,10.4693,4529,-1,-1,-1,0
armadillo,14587,102097,CUDSS,PARTH,3,rxmesh,24,8.10869,67,-1,-1,-1,0
armadillo,14587,102097,CUDSS,PARTH,5,rxmesh,24,8.12091,53,-1,-1,-1,0
armadillo,14587,102097,CUDSS,PARTH,7,rxmesh,24,8.172,59,-1,-1,-1,0
armadillo,14587,102097,CUDSS,PARTH,9,rxmesh,24,7.99084,88,-1,-1,-1,0
armadillo,14587,102097,CUDSS,PARTH,11,rxmesh,24,7.89023,169,-1,-1,-1,0
morse-telegraph-key-master-geometry,2748869,19199874,CUDSS,PARTH,3,rxmesh,24,13.6215,7430,-1,-1,-1,0
morse-telegraph-key-master-geometry,2748869,19199874,CUDSS,PARTH,5,rxmesh,24,13.5901,11378,-1,-1,-1,0
morse-telegraph-key-master-geometry,2748869,19199874,CUDSS,PARTH,7,rxmesh,24,13.5129,11578,-1,-1,-1,0
morse-telegraph-key-master-geometry,2748869,19199874,CUDSS,PARTH,9,rxmesh,24,13.5939,11730,-1,-1,-1,0
morse-telegraph-key-master-geometry,2748869,19199874,CUDSS,PARTH,11,rxmesh,24,13.5273,11632,-1,-1,-1,0
cloth10x10,952741,6661303,CUDSS,PARTH,3,rxmesh,24,9.30031,2469,-1,-1,-1,0
cloth10x10,952741,6661303,CUDSS,PARTH,5,rxmesh,24,9.26079,3603,-1,-1,-1,0
cloth10x10,952741,6661303,CUDSS,PARTH,7,rxmesh,24,9.24678,3533,-1,-1,-1,0
